rate_id,base_currency,quote_currency,rate_type,period_start,period_end,rate,source_id,note
usdjpy-closing-2023-08-31,USD,JPY,closing,,2023-08-31,145.91,boj-fxerm-usdjpy,東京市場ドル・円スポット17時時点/月末（2023年8月）。貸借対照表項目の換算に使う。
usdjpy-average-2023-08-31,USD,JPY,average,2022-09-01,2023-08-31,138.5125,boj-fxerm-usdjpy,同期間の月中平均（17時時点）12か月の単純平均。日次加重平均ではない。損益・キャッシュフロー項目の換算に使う。
usdjpy-closing-2024-08-31,USD,JPY,closing,,2024-08-31,144.94,boj-fxerm-usdjpy,東京市場ドル・円スポット17時時点/月末（2024年8月）。貸借対照表項目の換算に使う。
usdjpy-average-2024-08-31,USD,JPY,average,2023-09-01,2024-08-31,150.7283,boj-fxerm-usdjpy,同期間の月中平均（17時時点）12か月の単純平均。日次加重平均ではない。損益・キャッシュフロー項目の換算に使う。
usdjpy-closing-2025-08-31,USD,JPY,closing,,2025-08-31,147.01,boj-fxerm-usdjpy,東京市場ドル・円スポット17時時点/月末（2025年8月）。貸借対照表項目の換算に使う。
usdjpy-average-2025-08-31,USD,JPY,average,2024-09-01,2025-08-31,148.8367,boj-fxerm-usdjpy,同期間の月中平均（17時時点）12か月の単純平均。日次加重平均ではない。損益・キャッシュフロー項目の換算に使う。
