company_id,display_name,name_kana,legal_name,securities_code,corporate_number,website_url,edinet_code,sec_cik,ticker,exchange,country_code,is_active
tokyo-seimitsu,東京精密,とうきょうせいみつ,株式会社東京精密,7729,,https://www.accretech.jp/,E02289,,,,,true
screen-holdings,SCREENホールディングス,すくりーんほーるでぃんぐす,株式会社ＳＣＲＥＥＮホールディングス,7735,,https://www.screen.co.jp/,E02288,,,,,true
kioxia,キオクシアHD,きおくしあほーるでぃんぐす,キオクシアホールディングス株式会社,2850,,https://www.kioxia.com/jp/ja/,E35948,,,,,true
taiyo-yuden,太陽誘電,たいようゆうでん,太陽誘電株式会社,6976,,https://www.yuden.co.jp/,E01824,,,,,true
tokyo-electron,東京エレクトロン,とうきょうえれくとろん,東京エレクトロン株式会社,8035,,https://www.tel.com/jp/,E02652,,,,,true
advantest,アドバンテスト,あどばんてすと,株式会社アドバンテスト,6857,,https://www.advantest.com/japan,E01950,,,,,true
disco,ディスコ,でぃすこ,株式会社ディスコ,6146,,https://www.disco.co.jp/,E01506,,,,,true
lasertec,レーザーテック,れーざーてっく,レーザーテック株式会社,6920,,https://www.lasertec.co.jp/,E01991,,,,,true
shin-etsu-chemical,信越化学工業,しんえつかがくこうぎょう,信越化学工業株式会社,4063,,https://www.shinetsu.co.jp/,E00776,,,,,true
sumco,SUMCO,さむこ,株式会社ＳＵＭＣＯ,3436,,https://www.sumcosi.com/,E02103,,,,,true
resonac-holdings,レゾナックHD,れぞなっくほーるでぃんぐす,株式会社レゾナック・ホールディングス,4004,,https://www.resonac.com/,E00751,,,,,true
agc,AGC,えーじーしー,ＡＧＣ株式会社,5201,,https://www.agc.com/jp/,E01122,,,,,true
stella-chemifa,ステラケミファ,すてらけみふぁ,ステラケミファ株式会社,4109,,https://www.stella-chemifa.co.jp/,E00805,,,,,true
mitsubishi-heavy-industries,三菱重工業,みつびしじゅうこうぎょう,三菱重工業株式会社,7011,8010401050387,https://www.mhi.com/jp/,E02126,,,,,true
